track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,-1.0441856715505036,6.205382191492576e-05,inf,-37.86579564243812
Speak Softly - Broken Man,-1.2273124992115727,-0.002224125449506042,inf,-44.817112609579404
Raft Monk - Tiring,-0.30074064792344046,0.0004736861076008526,inf,-32.21624056873883
Secretariat - Borderline,-0.48253455756539543,-0.0027001486055352173,inf,-34.939560398951016
Forkupines - Semantics,-0.03399664882942924,-0.003823844841179793,inf,-16.04963144352751
Cristina Vane - So Easy,-1.1426927179583366,0.001639527051592642,inf,-40.103617847956606
Hollow Ground - Ill Fate,-0.4101329628625675,-0.0014255125800964872,inf,-39.59851000427094
Arise - Run Run Run,-0.3098176222405593,0.0018847761195778154,inf,-36.20440429478117
The Long Wait - Dark Horses,-1.2351270376110008,-0.004757259528224208,inf,-42.86241353311867
Louis Cressy Band - Good Time,-0.5701159687219888,-0.0007417916734074773,inf,-34.83172675880104
Signe Jakobsen - What Have You Done To Me,-1.5963186589218779,0.0010166887290709295,inf,-38.26541041229498
Nerve 9 - Pray For The Rain,-0.980533729807459,-0.0032686550996884984,inf,-39.70503942751242
Side Effects Project - Sing With Me,-1.085669366350697,-0.006455878381083661,inf,-39.390218122822624
Carlos Gonzalez - A Place For Us,-0.7619182177111066,0.00529124931978584,inf,-39.33451831778572
Secretariat - Over The Top,-0.46145814840602956,-0.004499687843594609,inf,-32.84781169515122
Georgia Wonder - Siren,-0.5121791400930862,0.003927681598642114,inf,-40.69878568062734
Motor Tapes - Shore,-0.8714288314310346,-0.00842676310232491,inf,-35.64418524662182
Triviul feat. The Fiend - Widow,-1.3538054195478306,-0.0018613016074136282,inf,-41.43341919219863
Punkdisco - Oral Hygiene,-0.5223406276843527,-0.0021946339492128694,inf,-37.75717665942848
PR - Oh No,-2.873612581744588,-0.005705443928837609,inf,-41.635083459421296
BKS - Too Much,-0.8334114033205957,-0.004746682615065236,inf,-39.76111309285687
Speak Softly - Like Horses,-1.4146145780563875,-0.000873280104578102,inf,-44.91832694362653
Bobby Nobody - Stitch Up,-0.6105756042047397,0.0039780786110090085,inf,-33.618716699500034
Lyndsey Ollard - Catching Up,-2.392485652540234,0.0007915158005056737,inf,-43.613137435810884
The Sunshine Garcia Band - For I Am The Moon,-1.3930232341581008,0.0022475528646791632,inf,-41.73596006735365
The Mountaineering Club - Mallory,-0.8602487423764839,0.00294150944551715,inf,-39.8574268620049
BKS - Bulldozer,-1.4984053570114104,0.00028672817684467566,inf,-45.32402017308273
Buitraker - Revo X,-0.5859204480750311,-0.0008742409726413345,inf,-36.837282902231394
Angels In Amplifiers - I'm Alright,-2.566873967729961,-0.0016104225955540074,inf,-44.99587249202938
James Elder & Mark M Thompson - The English Actor,-0.7077227294198665,4.605578460033068e-05,inf,-38.26578075159658
Enda Reilly - Cur An Long Ag Seol,-1.188753112772618,0.0023829724861207614,inf,-41.885429507966286
The Easton Ellises - Falcon 69,-0.5494720614875173,0.0032083597049501105,inf,-40.30830201342292
The Doppler Shift - Atrophy,-0.8996418558592716,-0.0033122190692724887,inf,-36.52344263201624
Moosmusic - Big Dummy Shake,-1.2086385212579496,0.003219208534076009,inf,-40.58020736408504
Ben Carrigan - We'll Talk About It All Tonight,-0.030188775104036145,-0.001684712525509004,inf,-31.242665676028338
Sambasevam Shanmugam - Kaathaadi,-0.3422415395195103,0.0032010684270025198,inf,-36.95839193480474
M.E.R.C. Music - Knockout,-1.3303702167601612,-0.0030984677461175295,inf,-43.58286046306816
The Easton Ellises (Baumi) - SDRNR,-23.484287309066545,-0.5640358811465929,inf,-41.99918651097214
Little Chicago's Finest - My Own,-0.9535952893123023,-0.0014578194360470487,inf,-39.553894314615874
Timboz - Pony,-0.3947906385564793,0.002032718215504466,inf,-41.71308176813585
Skelpolu - Resurrection,-46.89085115465847,2.634755038615589e-07,inf,-137.9080666194726
Detsky Sad - Walkie Talkie,-0.09653554287569038,-0.0051358693026774035,inf,-17.914084756513343
PR - Happy Daze,-21.935711148753747,-0.01667493328243137,inf,-56.145811892545574
We Fell From The Sky - Not You,-0.028636162269361568,-0.001360182008653319,inf,-25.28114217811742
Juliet's Rescue - Heartbeats,-0.9371872354386062,-0.002768244259325474,inf,-37.11078839835248
Tom McKenzie - Directions,-0.6379087275271396,0.0005282315158123469,inf,-36.80294353545188
Mu - Too Bright,-1.3330285698982904,0.002072176836156196,inf,-44.84730096305289
Girls Under Glass - We Feel Alright,-0.015782363697413163,-0.0007249225938267508,inf,-25.219695249082427
AM Contra - Heart Peripheral,-1.5843058245021036,0.0010992693251532996,inf,-44.44281678277335
Zeno - Signs,-1.3473715918831939,-0.002757531832034442,inf,-36.66443150030207
sum,-0.9184145456489389,-0.0008737605386097183,inf,-39.57620215944341
